CASEID,COMPWT,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID
22707,1.06000000000000005e+00, 4, 0,  0,3, 1,18,  0,1,1,18,  0,3,1,0,    0,1,18,  0,3,1,0,    0
22708,1.06000000000000005e+00, 4, 0,  0,3, 4, 0,  0,3,4, 0,  0,0,3,0,    0,4, 0,  0,1,3,0,    0
22709,5.30000000000000027e-01, 1,14,  0,1, 1,14,  0,1,1,14,  0,0,1,0,    0,1,14,  0,0,1,0,    0
22710,5.30000000000000027e-01, 1,18,  0,1, 1,18,  0,1,1,18,  0,5,1,0,    0,1,18,  0,5,1,0,    0
22711,1.06000000000000005e+00, 2, 0,  0,2, 1,18,  0,1,0, 0,  0, ,0,0,    0,1,14,  0,6,1,0,    0
22712,1.06000000000000005e+00, 1,18,  0,1, 1,60, 12,1,1,60, 12,7,1,0,    0,1,60, 12,7,1,0,    0
22713,1.06000000000000005e+00, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,0,    0,1,22,  0,4,3,0,    0
22714,1.06000000000000005e+00, 1,14,  0,1, 1,14,  0,1,1,14,  0,3,1,0,    0,1,14,  0,5,1,0,    0
22715,5.30000000000000027e-01, 1,22,  0,3, 1,22,  0,3,4, 0,  0,0,3,0,    0,1,22,  0,4,3,0,    0
22716,2.12999999999999989e+00, 1,60, 12,1, 1,60, 12,1,1,60, 12,7,1,0,    0,1,60, 12,7,1,0,    0
22717,1.59000000000000008e+00, 1,14,  0,1, 1,14,  0,1,1,15,  0,8,1,0,    0,1,22,  0,8,3,0,    0
22718,5.30000000000000027e-01, 1,15,  0,1, 1,15,  0,1,1,15,  0,8,1,0,    0,1,15,  0,8,1,0,    0
22719,1.59000000000000008e+00, 1,15,  0,1, 1,15,  0,1,1,15,  0,7,1,0,    0,1,15,  0,7,1,0,    0
22720,1.06000000000000005e+00, 1,15,  0,1, 1,28,  0,3,1,28,  0,7,3,0,    0,1,28,  0,7,3,0,    0
