CASEID,COMPWT,AGE,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9
27843,1.06000000000000005e+00,39, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 2, 0,  0, ,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27844,5.30000000000000027e-01,19, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27845,1.06000000000000005e+00,37, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 2, 0,  0, ,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27846,1.59000000000000008e+00,48, 1,70,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,70,  0, ,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27847,1.06000000000000005e+00,39, 2, 0,  0,2, 1,40,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 2, 0,  0, ,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27848,1.59000000000000008e+00,45, 1,10,  0,1, 1,10,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,10,  0, ,1,1,10,   0,   0,   0,   0,   0,   0,   0,   0,   0
27849,1.06000000000000005e+00,46, 1,70,  0,2, 1,70,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,70,  0, ,2,1,70,   0,   0,   0,   0,   0,   0,   0,   0,   0
27850,1.59000000000000008e+00,23, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27851,1.06000000000000005e+00,37, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 2, 0,  0, ,2,1,30,   0,   0,   0,   0,   0,   0,   0,   0,   0
27852,1.06000000000000005e+00,27, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27853,1.06000000000000005e+00,23, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27854,1.06000000000000005e+00,31, 1,40,  0,2, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,40,  0, ,2,1,40,   0,   0,   0,   0,   0,   0,   0,   0,   0
27855,1.06000000000000005e+00,30, 1,35,  0,2, 1,35,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,35,  0, ,2,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0
27856,1.06000000000000005e+00,77, 1,22,  0,3, 1,60, 63,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,22,  0, ,3,1,41,   0,   0,   0,   0,   0,   0,   0,   0,   0
27857,1.59000000000000008e+00,41, 1,70,  0,2, 1,18,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 5, 0,  0, ,9,1,18,   0,   0,   0,   0,   0,   0,   0,   0,   0
27858,5.30000000000000027e-01,70, 1,13,  0,1, 1,13,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27859,5.30000000000000027e-01,81, 1,12,  0,2, 1,12,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
27860,1.06000000000000005e+00,41, 5, 0,  0,9, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 5, 0,  0, ,9,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0
27861,5.30000000000000027e-01,41, 1,50,  0,3, 1,11,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
